Title,Authors,Pubhouse,NewPrice,OldPrice,Discount
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс : Функциональное программирование,1 382,2 513,45
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3 532,6 421,45
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1 995,3 628,45
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1 995,3 628,45
Java Concurrency на практике,"Гетц Брайан, Блох Джошуа, Пайерлс Тим",Питер : Для профессионалов,1 841,2 360,22
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1 184,2 152,45
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4 436,8 066,45
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство","Дейли Брэд, Дейли Брендан, Дейли Калеб",Вильямс,3 746,6 810,45
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора : Мировой компьютерный бестселлер,1 658,2 551,35
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2 456,4 466,45
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1 688,3 069,45
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1 995,3 628,45
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович, Келина Анастасия Юрьевна",Лань : Учебники для вузов. Специальная литература,1 322,2 404,45
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1 151,2 093,45
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1 536,2 793,45
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер : Библиотека программиста,1 288,1 651,22
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер : Библиотека программиста,1 316,1 645,20
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4 436,8 066,45
Изучаем Python. Том 2,Лутц Марк,Вильямс,3 746,6 810,45
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2 227,4 049,45
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс : Библиотека профессионала,615,1 118,45
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2 456,4 466,45
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М : Среднее профессиональное образование,4 355,Нет старой цены,Ошибка
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М : Среднее профессиональное образование,1 775,Нет старой цены,Ошибка
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань : Учебники для вузов. Специальная литература,2 867,5 212,45
